Product,Brand,Review,Entities,Sentiment,Polarity
Kindle Paperwhite,Amazon,"I initially had trouble deciding between the paperwhite and the voyage because reviews more or less said the same thing: the paperwhite is great, but ...","[('300', 'CARDINAL'), ('80 dollar', 'MONEY'), ('a week', 'DATE'), ('Amazon', 'ORG'), ('Extra', 'NORP'), ('third', 'ORDINAL')]",Positive,0.20025879917184267
Kindle Paperwhite,Amazon,"Allow me to preface this with a little history. I am (was) a casual reader who owned a Nook Simple Touch from 2011. I've read the Harry Potter series,...","[('a Nook Simple Touch', 'PERSON'), ('2011', 'DATE'), ('1984', 'DATE'), ('Brave New World', 'ORG'), ('Nook', 'PERSON'), ('today', 'DATE'), ('a full week', 'DATE'), ('Kindle Paperwhite', 'ORG'), ('Kindle', 'LOC'), ('Kindle', 'LOC'), ('139.00', 'CARDINAL'), ('Kindle', 'GPE'), ('Amazon', 'ORG'), ('Hunger Games', 'ORG'), ('Nook', 'ORG'), ('the past 4 years', 'DATE'), ('Kindle', 'GPE'), ('a full week', 'DATE'), ('3', 'CARDINAL'), ('a ton', 'QUANTITY'), ('half', 'CARDINAL')]",Positive,0.15959145021645021
Kindle Paperwhite,Amazon,I am enjoying it so far. Great for reading. Had the original Fire since 2012. The Fire used to make my eyes hurt if I read too long. Haven't experienc...,"[('2012', 'DATE'), ('Paperwhite', 'PERSON')]",Positive,0.42083333333333334
Kindle Paperwhite,Amazon,"I bought one of the first Paperwhites and have been very pleased with it its been a constant companion and I suppose Ive read, on average, a book ever...","[('first', 'ORDINAL'), ('every three days', 'DATE'), ('many years', 'DATE'), ('Amazons Kindle', 'PERSON'), ('Kindle', 'LOC'), ('BookBub', 'ORG'), ('daily', 'DATE'), ('Some days', 'DATE'), ('two', 'CARDINAL'), ('Paperwhite', 'ORG'), ('Kindle', 'GPE'), ('Kindle', 'GPE'), ('Amazon', 'ORG'), ('thousands', 'CARDINAL'), ('second', 'ORDINAL'), ('first', 'ORDINAL')]",Positive,0.1488210227272727
Kindle Paperwhite,Amazon,"I have to say upfront - I don't like coroporate, hermetically closed stuff like anything by Apple or in this case, Amazon. I like having devices on wh...","[('Apple', 'ORG'), ('Amazon', 'ORG'), ('a Nook Touch', 'WORK_OF_ART'), ('several years', 'DATE'), ('Serbia', 'GPE'), ('Nook', 'PRODUCT'), ('Serbia', 'GPE'), ('Kindle', 'LOC'), ('Amazon', 'ORG'), ('Serbia', 'GPE'), ('Amazon', 'ORG'), ('2005', 'DATE'), ('2007', 'DATE'), ('Kindle', 'PERSON'), ('Paperwhite', 'ORG'), ('Paperwhite', 'PERSON'), ('300', 'CARDINAL'), ('Serbia', 'GPE'), ('these two days', 'DATE'), ('Amazon', 'ORG'), ('Amazon', 'ORG'), ('Kindle', 'GPE'), ('Goodreads', 'ORG')]",Positive,0.26708640458640454
Kindle Paperwhite,Amazon,"My previous kindle was a DX, this is my second kindle in years. Love the form factor and all but I do miss the physical buttons for page turning. Ther...","[('second', 'ORDINAL'), ('years', 'DATE'), ('English', 'LANGUAGE'), ('Chinese', 'NORP'), ('Chinese', 'NORP'), ('Chinese', 'NORP')]",Positive,0.0069444444444444475
Kindle Paperwhite,Amazon,"Allow me to preface this with a little history. I am (was) a casual reader who owned a Nook Simple Touch from 2011. I've read the Harry Potter series,...","[('a Nook Simple Touch', 'PERSON'), ('2011', 'DATE'), ('1984', 'DATE'), ('Brave New World', 'ORG'), ('Nook', 'PERSON'), ('today', 'DATE'), ('a full week', 'DATE'), ('Kindle Paperwhite', 'ORG'), ('Kindle', 'LOC'), ('Kindle', 'LOC'), ('139.00', 'CARDINAL'), ('Kindle', 'GPE'), ('Amazon', 'ORG'), ('Hunger Games', 'ORG'), ('Nook', 'ORG'), ('the past 4 years', 'DATE'), ('Kindle', 'GPE'), ('a full week', 'DATE'), ('3', 'CARDINAL'), ('a ton', 'QUANTITY'), ('half', 'CARDINAL')]",Positive,0.15959145021645021
Kindle Paperwhite,Amazon,"Just got mine right now. Looks the same as the previous generation except for the Kindle logo (it's black this time), feels a little heavier, the scre...","[('Kindle', 'LOC'), ('300', 'CARDINAL'), ('4', 'CARDINAL'), ('5', 'CARDINAL')]",Positive,0.11323676323676324
Kindle Paperwhite,Amazon,"I initially had trouble deciding between the paperwhite and the voyage because reviews more or less said the same thing: the paperwhite is great, but ...","[('300', 'CARDINAL'), ('80 dollar', 'MONEY'), ('a week', 'DATE'), ('Amazon', 'ORG'), ('Extra', 'NORP'), ('third', 'ORDINAL')]",Positive,0.20025879917184267
Kindle Paperwhite,Amazon,I am enjoying it so far. Great for reading. Had the original Fire since 2012. The Fire used to make my eyes hurt if I read too long. Haven't experienc...,"[('2012', 'DATE'), ('Paperwhite', 'PERSON')]",Positive,0.42083333333333334
